,Name,Rating,Price,Type,Address,Hours,Website,Phone,PlusCode,Descript,G_MAP_URL,Latitude,Longitude,geometry,Psuedo_Z,Convenience,Customer Service and Checkout Process,Employees,Food Departments and Quality,Food Selection and Variety,Price and General Experience,LGBTQ_Friendly,Family_Friendly,Shop_Online,Shop_Store,Delivery,Pickup_Curbside,Pickup_Store,Drive_Thru,Delivery_No_Contact,Delivery_Same_Day,Disinfect_Surfaces,Safety_Dividers_Checkout,Masks_Required,Masks_Staff,Staff_Temperature_Check,Great_Service,Wheelchair_Accessible,Quick_Visit,Organic_Food,Prepared_Food,Pay_Checks,Pay_Debit_Cards,Pay_NFC_Mobile,Pay_SNAP_EBT,Pay_Credit_Cards,Restroom,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close,Monday_Open,Monday_Close
102,Kroger,4.2,$$,Grocery store,"220 Wears Valley Rd, Pigeon Forge, TN 37863","{'Tuesday': ['7AM', '11PM'], 'Wednesday': ['7AM', '11PM'], 'Thursday': ['7AM', '11PM'], 'Friday': ['7AM', '11PM'], 'Saturday': ['7AM', '11PM'], 'Sunday': ['7AM', '11PM'], 'Monday': ['7AM', '11PM']}",Website: kroger.com ,(865) 429-0874,"RC39+R9 Pigeon Forge, Tenn","Large supermarket chain with deli & bakery departments, plus health & beauty aids.","https://www.google.com/maps/place/Kroger/@35.8045139,-83.5837529,17z/data=!3m1!4b1!4m5!3m4!1s0x885bff6f4e234a6b:0x1a57203e42f18106!8m2!3d35.8045096!4d-83.5815589",35.8045139,-83.5837529,POINT (-83.58375289999999 35.8045139),2022-03-10 23:59:59,3.25,3.463020833333333,3.541666666666667,3.3352272727272725,,3.5166666666666666,,,True,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,2022-03-08 07:00:00,2022-03-08 23:00:00,2022-03-09 07:00:00,2022-03-09 23:00:00,2022-03-10 07:00:00,2022-03-10 23:00:00,2022-03-11 07:00:00,2022-03-11 23:00:00,2022-03-12 07:00:00,2022-03-12 23:00:00,2022-03-13 07:00:00,2022-03-13 23:00:00,2022-03-14 07:00:00,2022-03-14 23:00:00
103,Publix Super Market at Valley Forge Shopping Center,4.5,$$,Supermarket,"2656 Parkway, Pigeon Forge, TN 37863","{'Tuesday': ['7AM', '10PM'], 'Wednesday': ['7AM', '10PM'], 'Thursday': ['7AM', '10PM'], 'Friday': ['7AM', '10PM'], 'Saturday': ['7AM', '10PM'], 'Sunday': ['7AM', '10PM'], 'Monday': ['7AM', '10PM']}",Website: publix.com ,(865) 774-2030,"RC3F+2C Pigeon Forge, Tenn","Supermarket chain with a wide selection of groceries, plus deli & bakery departments.","https://www.google.com/maps/place/Publix+Super+Market+at+Valley+Forge+Shopping+Center/@35.8025998,-83.578593,17z/data=!3m1!4b1!4m5!3m4!1s0x885bff6c0fbd4217:0x88f01cdd61905d43!8m2!3d35.8025955!4d-83.576399",35.8025998,-83.578593,POINT (-83.578593 35.8025998),2022-03-10 23:59:59,3.5713541666666666,3.416666666666667,3.6137152777777777,3.25,3.5375,3.427083333333333,Yes,,True,Yes,Yes,Yes,Yes,,Yes,,,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2022-03-08 07:00:00,2022-03-08 22:00:00,2022-03-09 07:00:00,2022-03-09 22:00:00,2022-03-10 07:00:00,2022-03-10 22:00:00,2022-03-11 07:00:00,2022-03-11 22:00:00,2022-03-12 07:00:00,2022-03-12 22:00:00,2022-03-13 07:00:00,2022-03-13 22:00:00,2022-03-14 07:00:00,2022-03-14 22:00:00
104,Food City,4.2,$$,Grocery store,"508 E Tri County Blvd, Oliver Springs, TN 37840","{'Tuesday': ['6AM', '12AM'], 'Wednesday': ['6AM', '12AM'], 'Thursday': ['6AM', '12AM'], 'Friday': ['6AM', '12AM'], 'Saturday': ['6AM', '12AM'], 'Sunday': ['6AM', '12AM'], 'Monday': ['6AM', '12AM']}",Website: foodcity.com ,(865) 435-5353,"2MP9+HM Oliver Springs, Tenn",,"https://www.google.com/maps/place/Food+City/@36.0363932,-84.3330273,17z/data=!3m1!4b1!4m5!3m4!1s0x885dcc7377889767:0x438af070b7837171!8m2!3d36.0365119!4d-84.3310938",36.0363932,-84.3330273,POINT (-84.3330273 36.0363932),2022-03-10 23:59:59,3.625,3.359375,3.583333333333333,,3.0625,3.642857142857143,,,True,Yes,Yes,Yes,Yes,,,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2022-03-08 06:00:00,2022-03-08 00:00:00,2022-03-09 06:00:00,2022-03-09 00:00:00,2022-03-10 06:00:00,2022-03-10 00:00:00,2022-03-11 06:00:00,2022-03-11 00:00:00,2022-03-12 06:00:00,2022-03-12 00:00:00,2022-03-13 06:00:00,2022-03-13 00:00:00,2022-03-14 06:00:00,2022-03-14 00:00:00
105,Walmart Supercenter,3.9,$,Department store,"373 S Illinois Ave, Oak Ridge, TN 37830","{'Tuesday': ['6AM', '11PM'], 'Wednesday': ['6AM', '11PM'], 'Thursday': ['6AM', '11PM'], 'Friday': ['6AM', '11PM'], 'Saturday': ['6AM', '11PM'], 'Sunday': ['6AM', '11PM'], 'Monday': ['6AM', '11PM']}",Website: walmart.com ,(865) 481-2503,"2P5W+GQ Oak Ridge, Tenn",,"https://www.google.com/maps/place/Walmart+Supercenter/@36.0088222,-84.2552614,17z/data=!3m1!4b1!4m5!3m4!1s0x885c333c9282cb87:0x7a9ba286d84c892e!8m2!3d36.0088179!4d-84.2530674",36.0088222,-84.2552614,POINT (-84.25526139999999 36.0088222),2022-03-10 23:59:59,3.0625,,3.681770833333333,3.125,,3.375,,,True,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,,,Yes,Yes,,,,,Yes,Yes,,,2022-03-08 06:00:00,2022-03-08 23:00:00,2022-03-09 06:00:00,2022-03-09 23:00:00,2022-03-10 06:00:00,2022-03-10 23:00:00,2022-03-11 06:00:00,2022-03-11 23:00:00,2022-03-12 06:00:00,2022-03-12 23:00:00,2022-03-13 06:00:00,2022-03-13 23:00:00,2022-03-14 06:00:00,2022-03-14 23:00:00
106,Food City,4.3,$$,Grocery store,"1000 Ladd Landing Blvd, Kingston, TN 37763","{'Tuesday': ['6AM', '12AM'], 'Wednesday': ['6AM', '12AM'], 'Thursday': ['6AM', '12AM'], 'Friday': ['6AM', '12AM'], 'Saturday': ['6AM', '12AM'], 'Sunday': ['6AM', '12AM'], 'Monday': ['6AM', '12AM']}",Website: foodcity.com ,(865) 376-7534,"VGP3+78 Kingston, Tenn",,"https://www.google.com/maps/place/Food+City/@35.8856553,-84.4989212,17z/data=!3m1!4b1!4m5!3m4!1s0x885ddbdb798dfc07:0xd4ba7d9541c4dd76!8m2!3d35.8853777!4d-84.4967646",35.8856553,-84.4989212,POINT (-84.4989212 35.8856553),2022-03-10 23:59:59,3.7135416666666665,3.75,3.744791666666667,3.333333333333333,3.36125,3.125,,,True,Yes,Yes,Yes,Yes,,,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2022-03-08 06:00:00,2022-03-08 00:00:00,2022-03-09 06:00:00,2022-03-09 00:00:00,2022-03-10 06:00:00,2022-03-10 00:00:00,2022-03-11 06:00:00,2022-03-11 00:00:00,2022-03-12 06:00:00,2022-03-12 00:00:00,2022-03-13 06:00:00,2022-03-13 00:00:00,2022-03-14 06:00:00,2022-03-14 00:00:00
107,Ingles Markets,4.4,$$,Grocery store,"430 E Emory Rd, Powell, TN 37849","{'Tuesday': ['6AM', '12AM'], 'Wednesday': ['6AM', '12AM'], 'Thursday': ['6AM', '12AM'], 'Friday': ['6AM', '12AM'], 'Saturday': ['6AM', '12AM'], 'Sunday': ['6AM', '12AM'], 'Monday': ['6AM', '12AM']}",Website: ingles-markets.com ,(865) 947-4523,"22X3+7H Powell, Tenn",,"https://www.google.com/maps/place/Ingles+Markets/@36.0481998,-83.9982502,17z/data=!3m1!4b1!4m5!3m4!1s0x885c3ec06aac9df7:0xbcdc41f69826bfc0!8m2!3d36.0485671!4d-83.9962163",36.0481998,-83.9982502,POINT (-83.9982502 36.0481998),2022-03-10 23:59:59,3.335416666666667,3.7230902777777777,3.541666666666667,3.469444444444444,3.301388888888889,3.6235119047619047,,,True,Yes,,Yes,Yes,Yes,,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,2022-03-08 06:00:00,2022-03-08 00:00:00,2022-03-09 06:00:00,2022-03-09 00:00:00,2022-03-10 06:00:00,2022-03-10 00:00:00,2022-03-11 06:00:00,2022-03-11 00:00:00,2022-03-12 06:00:00,2022-03-12 00:00:00,2022-03-13 06:00:00,2022-03-13 00:00:00,2022-03-14 06:00:00,2022-03-14 00:00:00
108,Big Lots,4.2,$,Discount store,"101 N Seven Oaks Dr, Knoxville, TN 37922","{'Tuesday': ['9AM', '9PM'], 'Wednesday': ['9AM', '9PM'], 'Thursday': ['9AM', '9PM'], 'Friday': ['9AM', '9PM'], 'Saturday': ['9AM', '9PM'], 'Sunday': ['9AM', '9PM'], 'Monday': ['9AM', '9PM']}",Website: local.biglots.com ,(865) 692-2040,"WV6X+7W Knoxville, Tenn","Chain selling a range of products, such as housewares, grocery items & furniture.","https://www.google.com/maps/place/Big+Lots/@35.9107008,-84.1023391,17z/data=!3m1!4b1!4m5!3m4!1s0x885c257d046915a7:0x3feb0bbfd9586e6e!8m2!3d35.9106965!4d-84.1001451",35.9107008,-84.1023391,POINT (-84.10233909999999 35.9107008),2022-03-10 23:59:59,3.2802083333333334,3.4821428571428568,3.7375,3.541666666666667,,3.75,,,True,Yes,Yes,Yes,Yes,,,,Yes,Yes,,,,,Yes,Yes,,,,,Yes,Yes,,,2022-03-08 09:00:00,2022-03-08 21:00:00,2022-03-09 09:00:00,2022-03-09 21:00:00,2022-03-10 09:00:00,2022-03-10 21:00:00,2022-03-11 09:00:00,2022-03-11 21:00:00,2022-03-12 09:00:00,2022-03-12 21:00:00,2022-03-13 09:00:00,2022-03-13 21:00:00,2022-03-14 09:00:00,2022-03-14 21:00:00
109,Naturally a Deal Market,4.7,,Grocery store,"3529 W Emory Rd, Powell, TN 37849","{'Tuesday': ['9AM', '6PM'], 'Wednesday': ['9AM', '7:30PM'], 'Thursday': ['9AM', '7:30PM'], 'Friday': ['9AM', '7:30PM'], 'Saturday': ['9AM', '7:30PM'], 'Sunday': ['Closed'], 'Monday': ['9AM', '7:30PM']}",Website: m.facebook.com ,(865) 362-5565,"2WCX+GC Powell, Tenn",,"https://www.google.com/maps/place/Naturally+a+Deal+Market/@36.0212698,-84.0536193,17z/data=!3m1!4b1!4m5!3m4!1s0x885c3b02097198b3:0x802cd48ea4990280!8m2!3d36.0212655!4d-84.0514253",36.0212698,-84.0536193,POINT (-84.05361929999999 36.0212698),2022-03-10 23:59:59,3.9088541666666665,3.4701388888888887,3.8953598484848486,3.5722064393939394,4.25,3.796875,,,False,Yes,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,2022-03-08 09:00:00,2022-03-08 18:00:00,2022-03-09 09:00:00,2022-03-09 19:30:00,2022-03-10 09:00:00,2022-03-10 19:30:00,2022-03-11 09:00:00,2022-03-11 19:30:00,2022-03-12 09:00:00,2022-03-12 19:30:00,2022-03-13 00:00:00,2261-12-31 00:00:00,2022-03-14 09:00:00,2022-03-14 19:30:00
110,Dollar Tree,4.3,$,Dollar store,"8909 Town and Country Cir, Knoxville, TN 37923","{'Tuesday': ['9AM', '9PM'], 'Wednesday': ['9AM', '9PM'], 'Thursday': ['9AM', '9PM'], 'Friday': ['9AM', '9PM'], 'Saturday': ['9AM', '9PM'], 'Sunday': ['9AM', '8PM'], 'Monday': ['9AM', '9PM']}",Website: dollartree.com ,(865) 343-6948,"WW87+WQ Knoxville, Tenn","Chain offering an eclectic mix of household items, beauty products, food & more at discount prices.","https://www.google.com/maps/place/Dollar+Tree/@35.9172625,-84.0877137,17z/data=!3m1!4b1!4m5!3m4!1s0x885c254400000001:0xc79f2f6d6e267f72!8m2!3d35.9172582!4d-84.0855197",35.9172625,-84.0877137,POINT (-84.08771369999999 35.9172625),2022-03-10 23:59:59,3.638888888888889,3.270833333333333,3.597048611111111,,,3.875,,,False,Yes,,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,Yes,Yes,Yes,,2022-03-08 09:00:00,2022-03-08 21:00:00,2022-03-09 09:00:00,2022-03-09 21:00:00,2022-03-10 09:00:00,2022-03-10 21:00:00,2022-03-11 09:00:00,2022-03-11 21:00:00,2022-03-12 09:00:00,2022-03-12 21:00:00,2022-03-13 09:00:00,2022-03-13 20:00:00,2022-03-14 09:00:00,2022-03-14 21:00:00
111,Family Dollar,4.0,$,Dollar store,"4022 Chapman Hwy, Knoxville, TN 37920","{'Tuesday': ['9AM', '9PM'], 'Wednesday': ['9AM', '9PM'], 'Thursday': ['9AM', '9PM'], 'Friday': ['9AM', '9PM'], 'Saturday': ['9AM', '9PM'], 'Sunday': ['9AM', '9PM'], 'Monday': ['9AM', '9PM']}",Website: familydollar.com ,(865) 824-2939,"W3PV+X6 Knoxville, Tennessee","Discount chain carrying a variety of goods, including groceries, household items & beauty products.","https://www.google.com/maps/search/Family+Dollar,+4022+Chapman+Hwy,+Knoxville/@35.9374733,-83.9091594,17z/data=!3m1!4b1",35.9374733,-83.9091594,POINT (-83.90915939999999 35.9374733),2022-03-10 23:59:59,,,,,,,,,False,Yes,,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,Yes,,Yes,,,2022-03-08 09:00:00,2022-03-08 21:00:00,2022-03-09 09:00:00,2022-03-09 21:00:00,2022-03-10 09:00:00,2022-03-10 21:00:00,2022-03-11 09:00:00,2022-03-11 21:00:00,2022-03-12 09:00:00,2022-03-12 21:00:00,2022-03-13 09:00:00,2022-03-13 21:00:00,2022-03-14 09:00:00,2022-03-14 21:00:00
112,Dollar Tree,4.4,$,Dollar store,"7478 Chapman Hwy, Knoxville, TN 37920","{'Tuesday': ['9AM', '9PM'], 'Wednesday': ['9AM', '9PM'], 'Thursday': ['9AM', '9PM'], 'Friday': ['9AM', '9PM'], 'Saturday': ['9AM', '9PM'], 'Sunday': ['10AM', '8PM'], 'Monday': ['9AM', '9PM']}",Website: dollartree.com ,(865) 343-6947,"W564+2J Knoxville, Tenn","Chain offering an eclectic mix of household items, beauty products, food & more at discount prices.","https://www.google.com/maps/place/Dollar+Tree/@35.9100694,-83.8456428,17z/data=!3m1!4b1!4m5!3m4!1s0x885c1a204b3a23fd:0x660132ec4d711b96!8m2!3d35.9101257!4d-83.843532",35.9100694,-83.8456428,POINT (-83.84564279999999 35.9100694),2022-03-10 23:59:59,3.5,3.5625,3.71875,3.878255208333333,,4.1875,,,False,Yes,,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,Yes,Yes,Yes,,2022-03-08 09:00:00,2022-03-08 21:00:00,2022-03-09 09:00:00,2022-03-09 21:00:00,2022-03-10 09:00:00,2022-03-10 21:00:00,2022-03-11 09:00:00,2022-03-11 21:00:00,2022-03-12 09:00:00,2022-03-12 21:00:00,2022-03-13 10:00:00,2022-03-13 20:00:00,2022-03-14 09:00:00,2022-03-14 21:00:00
113,Dollar Plus Market,4.6,,Supermarket,"305 Business St, Kodak, TN 37764","{'Tuesday': ['8AM', '9PM'], 'Wednesday': ['8AM', '9PM'], 'Thursday': ['8AM', '9PM'], 'Friday': ['8AM', '9PM'], 'Saturday': ['8AM', '9PM'], 'Sunday': ['9AM', '9PM'], 'Monday': ['8AM', '9PM']}",Website: dollarplusmarket.business.site ,(865) 465-7600,"X9GC+RM Kodak, Tenn",,"https://www.google.com/maps/place/Dollar+Plus+Market/@35.9770599,-83.6305433,17z/data=!3m1!4b1!4m5!3m4!1s0x885c09a5cbb6d58d:0x40571a1fcdb1608c!8m2!3d35.9770556!4d-83.6283493",35.9770599,-83.6305433,POINT (-83.6305433 35.9770599),2022-03-10 23:59:59,4.0234375,3.491910173160173,3.75,,3.75,4.229166666666667,,,False,Yes,,,,,,,Yes,Yes,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,2022-03-08 08:00:00,2022-03-08 21:00:00,2022-03-09 08:00:00,2022-03-09 21:00:00,2022-03-10 08:00:00,2022-03-10 21:00:00,2022-03-11 08:00:00,2022-03-11 21:00:00,2022-03-12 08:00:00,2022-03-12 21:00:00,2022-03-13 09:00:00,2022-03-13 21:00:00,2022-03-14 08:00:00,2022-03-14 21:00:00
114,Kroger,4.3,$$,Grocery store,"702 Winfield Dunn Pkwy, Sevierville, TN 37876","{'Tuesday': ['7AM', '11PM'], 'Wednesday': ['7AM', '11PM'], 'Thursday': ['7AM', '11PM'], 'Friday': ['7AM', '11PM'], 'Saturday': ['7AM', '11PM'], 'Sunday': ['7AM', '11PM'], 'Monday': ['7AM', '11PM']}",Website: kroger.com ,(865) 429-1198,"VCHF+QW Sevierville, Tenn","Large supermarket chain with deli & bakery departments, plus health & beauty aids.","https://www.google.com/maps/place/Kroger/@35.879395,-83.5773359,17z/data=!3m1!4b1!4m5!3m4!1s0x885bf86715362eef:0x3ed6d11f2e42a77e!8m2!3d35.8793907!4d-83.5751419",35.879395,-83.5773359,POINT (-83.57733589999999 35.879395),2022-03-10 23:59:59,3.5739583333333336,3.1260822510822512,3.75,3.415178571428572,,3.6972222222222224,,,True,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,2022-03-08 07:00:00,2022-03-08 23:00:00,2022-03-09 07:00:00,2022-03-09 23:00:00,2022-03-10 07:00:00,2022-03-10 23:00:00,2022-03-11 07:00:00,2022-03-11 23:00:00,2022-03-12 07:00:00,2022-03-12 23:00:00,2022-03-13 07:00:00,2022-03-13 23:00:00,2022-03-14 07:00:00,2022-03-14 23:00:00
115,Walmart Neighborhood Market,4.3,$,Supermarket,"1185 Dolly Parton Pkwy, Sevierville, TN 37862","{'Tuesday': ['7AM', '11PM'], 'Wednesday': ['6AM', '11PM'], 'Thursday': ['6AM', '11PM'], 'Friday': ['6AM', '11PM'], 'Saturday': ['6AM', '11PM'], 'Sunday': ['6AM', '11PM'], 'Monday': ['6AM', '11PM']}",Website: walmart.com ,(865) 280-6114,"VF79+3X Sevierville, Tenn",,"https://www.google.com/maps/place/Walmart+Neighborhood+Market/@35.8626867,-83.5322015,17z/data=!3m1!4b1!4m5!3m4!1s0x885bf90d166f4655:0xd386ce4daafde5b6!8m2!3d35.8626824!4d-83.5300075",35.8626867,-83.5322015,POINT (-83.5322015 35.8626867),2022-03-10 23:59:59,3.4375,3.4125,3.416666666666667,3.305555555555556,3.041666666666667,3.645833333333333,,,True,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,,,,,Yes,,,2022-03-08 07:00:00,2022-03-08 23:00:00,2022-03-09 06:00:00,2022-03-09 23:00:00,2022-03-10 06:00:00,2022-03-10 23:00:00,2022-03-11 06:00:00,2022-03-11 23:00:00,2022-03-12 06:00:00,2022-03-12 23:00:00,2022-03-13 06:00:00,2022-03-13 23:00:00,2022-03-14 06:00:00,2022-03-14 23:00:00
116,Food City,4.6,$$,Grocery store,"3064 Teaster Ln, Pigeon Forge, TN 37863","{'Tuesday': ['6AM', '12AM'], 'Wednesday': ['6AM', '12AM'], 'Thursday': ['6AM', '12AM'], 'Friday': ['6AM', '12AM'], 'Saturday': ['6AM', '12AM'], 'Sunday': ['6AM', '12AM'], 'Monday': ['6AM', '12AM']}",Website: foodcity.com ,(865) 505-8306,"QCVV+R2 Pigeon Forge, Tenn",,"https://www.google.com/maps/place/Food+City/@35.7945218,-83.5595823,17z/data=!3m1!4b1!4m5!3m4!1s0x885bffb4b0a9c7a7:0x1e8938ff3374e216!8m2!3d35.7945175!4d-83.5573883",35.7945218,-83.5595823,POINT (-83.5595823 35.7945218),2022-03-10 23:59:59,3.6486111111111112,3.691666666666667,3.622829861111111,3.657749368686869,3.421875,3.712152777777778,,,True,Yes,Yes,Yes,Yes,,,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2022-03-08 06:00:00,2022-03-08 00:00:00,2022-03-09 06:00:00,2022-03-09 00:00:00,2022-03-10 06:00:00,2022-03-10 00:00:00,2022-03-11 06:00:00,2022-03-11 00:00:00,2022-03-12 06:00:00,2022-03-12 00:00:00,2022-03-13 06:00:00,2022-03-13 00:00:00,2022-03-14 06:00:00,2022-03-14 00:00:00
117,Lila's Market & Carnicería Lila,4.6,,Mexican grocery store,"727 Eastgate Rd, Sevierville, TN 37862","{'Tuesday': ['10AM', '10PM'], 'Wednesday': ['10AM', '10PM'], 'Thursday': ['10AM', '10PM'], 'Friday': ['10AM', '10PM'], 'Saturday': ['10AM', '10PM'], 'Sunday': ['10AM', '10PM'], 'Monday': ['10AM', '10PM']}",Website: lilasmarketgrocerystore.com ,(865) 365-1951,"VC6X+6Q Sevierville, Tenn",,"https://www.google.com/maps/place/Lila's+Market+%26+Carnicer%C3%ADa+Lila/@35.8605407,-83.5527474,17z/data=!3m1!4b1!4m5!3m4!1s0x885bf97670f78ae3:0xfab204a910087de!8m2!3d35.8605364!4d-83.5505534",35.8605407,-83.5527474,POINT (-83.5527474 35.8605407),2022-03-10 23:59:59,,5.0,3.75,,3.125,4.303571428571429,,,False,Yes,,,,,,,Yes,Yes,,Yes,,,Yes,Yes,,,Yes,Yes,,,Yes,Yes,2022-03-08 10:00:00,2022-03-08 22:00:00,2022-03-09 10:00:00,2022-03-09 22:00:00,2022-03-10 10:00:00,2022-03-10 22:00:00,2022-03-11 10:00:00,2022-03-11 22:00:00,2022-03-12 10:00:00,2022-03-12 22:00:00,2022-03-13 10:00:00,2022-03-13 22:00:00,2022-03-14 10:00:00,2022-03-14 22:00:00
118,Express by Food City,4.1,$$,Grocery store,"3625 Parkway, Pigeon Forge, TN 37863","{'Tuesday': ['7AM', '10PM'], 'Wednesday': ['7AM', '10PM'], 'Thursday': ['7AM', '10PM'], 'Friday': ['7AM', '10PM'], 'Saturday': ['7AM', '10PM'], 'Sunday': ['7AM', '10PM'], 'Monday': ['7AM', '10PM']}",Website: foodcity.com ,(865) 453-4977,"QCMX+MP Pigeon Forge, Tenn",,"https://www.google.com/maps/place/Express+by+Food+City/@35.7842247,-83.5528847,17z/data=!3m1!4b1!4m5!3m4!1s0x885bffaac2f17a0f:0x67822c0cce2d294!8m2!3d35.7841608!4d-83.5507951",35.7842247,-83.5528847,POINT (-83.55288470000001 35.7842247),2022-03-10 23:59:59,3.5209990530303035,3.038194444444444,3.463541666666666,3.125,3.229761904761905,3.5625,,,True,Yes,Yes,,Yes,,,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2022-03-08 07:00:00,2022-03-08 22:00:00,2022-03-09 07:00:00,2022-03-09 22:00:00,2022-03-10 07:00:00,2022-03-10 22:00:00,2022-03-11 07:00:00,2022-03-11 22:00:00,2022-03-12 07:00:00,2022-03-12 22:00:00,2022-03-13 07:00:00,2022-03-13 22:00:00,2022-03-14 07:00:00,2022-03-14 22:00:00
119,Kroger Marketplace,4.4,$$,Grocery store,"1550 Oak Ridge Turnpike, Oak Ridge, TN 37830","{'Tuesday': ['6AM', '10PM'], 'Wednesday': ['6AM', '10PM'], 'Thursday': ['6AM', '10PM'], 'Friday': ['6AM', '10PM'], 'Saturday': ['6AM', '10PM'], 'Sunday': ['6AM', '10PM'], 'Monday': ['6AM', '10PM']}",Website: kroger.com ,(865) 294-0212,"2P7J+5R Oak Ridge, Tenn","Large supermarket chain with deli & bakery departments, plus health & beauty aids.","https://www.google.com/maps/place/Kroger+Marketplace/@36.0129226,-84.2700843,17z/data=!3m2!4b1!5s0x885c333360557127:0xc3acd4fab38e9c18!4m5!3m4!1s0x885c33335b86e0db:0xb31c5b3a7d459a80!8m2!3d36.0129183!4d-84.2678903",36.0129226,-84.2700843,POINT (-84.27008429999999 36.0129226),2022-03-10 23:59:59,3.654040404040404,3.583333333333333,3.658854166666667,3.0609848484848485,3.145833333333333,3.6875,,,True,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,2022-03-08 06:00:00,2022-03-08 22:00:00,2022-03-09 06:00:00,2022-03-09 22:00:00,2022-03-10 06:00:00,2022-03-10 22:00:00,2022-03-11 06:00:00,2022-03-11 22:00:00,2022-03-12 06:00:00,2022-03-12 22:00:00,2022-03-13 06:00:00,2022-03-13 22:00:00,2022-03-14 06:00:00,2022-03-14 22:00:00
120,Oak Ridge Farmers Market,4.9,,Supermarket,"281 Broadway Ave, Oak Ridge, TN 37830","{'Tuesday': ['Closed'], 'Wednesday': ['3PM', '6PM'], 'Thursday': ['Closed'], 'Friday': ['Closed'], 'Saturday': ['8AM', '12PM'], 'Sunday': ['Closed'], 'Monday': ['Closed']}",Website: easttnfarmmarkets.org ,,"2QH5+HQ Oak Ridge, Tenn",,"https://www.google.com/maps/place/Oak+Ridge+Farmers+Market/@36.0288963,-84.2428,17z/data=!3m1!4b1!4m5!3m4!1s0x885c33650cf7da81:0x802ef452dfc0574a!8m2!3d36.0289587!4d-84.2406642",36.0288963,-84.2428,POINT (-84.2428 36.0288963),2022-03-10 23:59:59,4.125,3.75,3.7458333333333336,3.270833333333333,,,,,False,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,Yes,,,2022-03-08 00:00:00,2261-12-31 00:00:00,2022-03-09 15:00:00,2022-03-09 18:00:00,2022-03-10 00:00:00,2261-12-31 00:00:00,2022-03-11 00:00:00,2261-12-31 00:00:00,2022-03-12 08:00:00,2022-03-12 12:00:00,2022-03-13 00:00:00,2261-12-31 00:00:00,2022-03-14 00:00:00,2261-12-31 00:00:00
121,Food City,4.3,$$,Grocery store,"507 S Charles G Seivers Blvd, Clinton, TN 37716","{'Tuesday': ['6AM', '12AM'], 'Wednesday': ['6AM', '12AM'], 'Thursday': ['6AM', '12AM'], 'Friday': ['6AM', '12AM'], 'Saturday': ['6AM', '12AM'], 'Sunday': ['6AM', '12AM'], 'Monday': ['6AM', '12AM']}",Website: foodcity.com ,(865) 457-2363,"3VR6+M3 Clinton, Tenn",,"https://www.google.com/maps/place/Food+City/@36.0916556,-84.1419502,17z/data=!3m1!4b1!4m5!3m4!1s0x885c37b3e7eb526b:0x2103e22337cf9671!8m2!3d36.0915843!4d-84.1398435",36.0916556,-84.1419502,POINT (-84.1419502 36.0916556),2022-03-10 23:59:59,3.7395833333333335,3.427083333333333,3.604166666666667,3.2214285714285715,3.333333333333333,3.833333333333333,,,True,Yes,,Yes,Yes,,,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2022-03-08 06:00:00,2022-03-08 00:00:00,2022-03-09 06:00:00,2022-03-09 00:00:00,2022-03-10 06:00:00,2022-03-10 00:00:00,2022-03-11 06:00:00,2022-03-11 00:00:00,2022-03-12 06:00:00,2022-03-12 00:00:00,2022-03-13 06:00:00,2022-03-13 00:00:00,2022-03-14 06:00:00,2022-03-14 00:00:00
